epoch,lr,train_loss_avg,val_loss,val_mae,val_rmse,epoch_time_sec,gpu_mem_peak_mb
1,0.0001,26.055768847465515,21.326627487182616,21.326627731323242,25.445486403688818,9.854530811309814,4122.57861328125
2,0.0001,18.51849690824747,14.758660466512044,14.758661270141602,19.51054214733185,9.174185276031494,4122.57861328125
3,0.0001,11.732533492147923,9.548399119059244,9.548399925231934,13.026089824397852,9.058804750442505,4122.57861328125
4,0.0001,7.057476907968521,6.9160615259806315,6.9160614013671875,9.946359200246693,9.151748895645142,4122.57861328125
5,0.0001,5.247834591194987,5.1284268226623535,5.128426551818848,7.213221426969519,9.182518720626831,4122.57861328125
6,0.0001,4.663577003404498,5.732404014587402,5.732403755187988,8.435186676510373,9.271708011627197,4122.57861328125
7,0.0001,4.380726490169764,4.655437789916992,4.65543794631958,6.930415754961682,9.152119159698486,4122.57861328125
8,0.0001,3.904925238341093,5.144715770721436,5.144715785980225,7.48701650239785,9.190861940383911,4122.57861328125
9,0.0001,3.866741308942437,4.534800238291423,4.534800052642822,6.714628721015331,9.410920143127441,4122.57861328125
10,0.0001,3.6641083657741547,4.476583773930868,4.476583957672119,6.618061678993548,8.995473384857178,4122.57861328125
11,5e-05,3.4065300403162837,4.221628992716472,4.2216291427612305,6.4466381212540735,9.343952178955078,4122.57861328125
12,5e-05,3.1542134070768952,4.263533476511637,4.263533592224121,6.326222828503506,9.108810663223267,4122.57861328125
13,5e-05,3.115483100526035,4.472178243001302,4.4721784591674805,6.410460935019732,9.30009412765503,4122.57861328125
14,5e-05,2.8168212873861194,4.210842530568441,4.210842609405518,6.463982488419635,9.091184139251709,4122.57861328125
15,5e-05,2.9883966566994786,4.255833299001058,4.255833148956299,6.458109041646698,9.386606216430664,4122.57861328125
16,5e-05,2.8540998939424753,4.483337032953898,4.483336925506592,6.847270460734786,9.112982273101807,4122.57861328125
17,5e-05,2.692224091850221,4.27761461130778,4.277614593505859,6.430505007642892,9.252128839492798,4122.57861328125
18,5e-05,2.706390865147114,4.334547950108846,4.334547996520996,6.668498772963055,9.360527515411377,4122.57861328125
19,5e-05,2.7146515659987926,4.167803306579589,4.1678032875061035,6.313527240830052,9.1683030128479,4122.57861328125
20,5e-05,2.5633232705295086,4.282736428578695,4.282736301422119,6.458824319531859,9.26238226890564,4122.57861328125
21,2.5e-05,2.3653391101397574,4.409862515131633,4.409862518310547,6.7917879557944545,8.979892015457153,4122.57861328125
22,2.5e-05,2.3255494087934494,4.1589396330515545,4.158939838409424,6.3875569857987315,9.229687690734863,4122.57861328125
23,2.5e-05,2.4105994598940015,4.224853802363078,4.224853992462158,6.3819742387701766,9.188252210617065,4122.57861328125
24,2.5e-05,2.324449425563216,4.171296157201131,4.171296119689941,6.436987699104895,9.284578084945679,4122.57861328125
25,2.5e-05,2.1577330506406724,4.291566705067953,4.291566371917725,6.605591468866694,9.20129108428955,4122.57861328125
